"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL),,
11600,-977734.3253,197483.7867,-780250.5386,299.8455056,0.968163616,,
11700,-976911.0301,197167.4225,-779743.6076,299.3651605,0.968163616,,
11800,-977659.941,198522.7853,-779137.1557,301.4230481,0.968163616,,
11900,-976898.0021,197545.9187,-779352.0835,299.9398425,0.968163616,,
12000,-977012.8245,197783.0578,-779229.7666,300.2998979,0.968163616,,
12100,-976477.7816,197244.2234,-779233.5583,299.4817695,0.968163616,,
12200,-976759.1575,197646.6663,-779112.4912,300.0928106,0.968163616,,
12300,-977250.9352,198008.5714,-779242.3638,300.6423018,0.968163616,,
12400,-977855.255,198768.0971,-779087.1579,301.7955123,0.968163616,,
12500,-976665.8668,196799.6615,-779866.2053,298.8067781,0.968163616,,
12600,-977099.836,196869.1586,-780230.6774,298.9122975,0.968163616,,
12700,-977365.4244,197055.8032,-780309.6211,299.1956856,0.968163616,,
12800,-978767.264,198402.9883,-780364.2757,301.2411568,0.968163616,,
12900,-978635.2234,198143.7802,-780491.4432,300.8475934,0.968163616,,
13000,-978288.9514,197702.2046,-780586.7468,300.177136,0.968163616,,
13100,-977931.5027,198179.1642,-779752.3384,300.901318,0.968163616,,
13200,-976602.7134,196958.0204,-779644.693,299.047219,0.968163616,,
13300,-977568.424,197921.0859,-779647.3381,300.50947,0.968163616,,
13400,-977065.233,197676.7899,-779388.4431,300.1385482,0.968163616,,
13500,-976094.0576,197463.3769,-778630.6807,299.8145168,0.968163616,,
13600,-977795.0665,198717.574,-779077.4925,301.7188016,0.968163616,,
13700,-976754.438,197628.8922,-779125.5458,300.0658237,0.968163616,,
13800,-977003.2527,198004.1164,-778999.1363,300.6355377,0.968163616,,
13900,-977342.2688,198166.0255,-779176.2433,300.881369,0.968163616,,
14000,-976272.9603,197366.2903,-778906.67,299.6671074,0.968163616,,
14100,-977035.4594,198392.6809,-778642.7785,301.2255068,0.968163616,,
14200,-977593.2054,199232.2966,-778360.9088,302.5003202,0.968163616,,
14300,-976244.2025,198071.8343,-778172.3682,300.7383558,0.968163616,,
14400,-976798.4249,198341.8564,-778456.5686,301.1483383,0.968163616,,
14500,-976327.5312,197655.8145,-778671.7167,300.1067006,0.968163616,,
14600,-976584.5273,198328.1435,-778256.3838,301.1275177,0.968163616,,
14700,-976402.0794,197744.8001,-778657.2794,300.24181,0.968163616,,
14800,-976623.831,198057.1109,-778566.7201,300.7160008,0.968163616,,
